admin1_id_nestedinSett,iter_na,people_na,people_mean,people_median,people_lower,people_upper,admin1_BNDT,uncertainty,migrants_add,migrants_remove,people_mean_withMigrants,people_median_withMigrants,people_lower_withMigrants,people_upper_withMigrants,region,projections_2019,people_census,projections_diff,census_diff
1,94500,21,1922296.701,1746436.5,550298.525,4334060.75,boucle du mouhoun,1.968354949,6823,6565,1922554.701,1746694.5,550556.525,4334318.75,boucle-du-mouhoun,2030595,NA,-0.053206227,NA
10,13500,3,1748881.015,1601490,570687,3790492.025,nord,1.8410658,14384,8328,1754937.015,1607546,576743,3796548.025,nord,1677542,NA,0.046135963,NA
11,27000,6,1041410.925,983793,358618.1,2060860.325,plateau-central,1.634553839,2991,834,1043567.925,985950,360775.1,2063017.325,plateau-central,975568,NA,0.069702906,NA
12,22500,5,1498779.737,1282163.5,293490.725,3996504.075,sahel,2.470685491,24305,54385,1468699.737,1252083.5,263410.725,3966424.075,sahel,1437848,NA,0.021456883,NA
13,36000,8,932519.6,863171,272309.775,1997781.45,sud-ouest,1.850332878,3400,2647,933272.6,863924,273062.775,1998534.45,sud-ouest,891529,NA,0.046822481,NA
2,13500,3,854365.4749,769304,224471.6,1984348.1,cascades,2.059863784,1733,0,856098.4749,771037,226204.6,1986081.1,cascades,851276,767344,0.005664996,0.115664519
3,639000,142,2933682.35,2732893.5,1137090.25,5887915.325,centre,1.619406775,11028,0,2944710.35,2743921.5,1148118.25,5898943.325,centre,2966307,2232641,-0.007280652,0.318935893
4,31500,7,1668969.847,1528664.5,492814.25,3670662.225,centre-est,1.904077525,3476,1414,1671031.847,1530726.5,494876.25,3672724.225,centre-est,1655846,NA,0.00917105,NA
5,40500,9,1890902.374,1771751.5,660534.675,3822427.525,centre-nord,1.672160812,27908,26383,1892427.374,1773276.5,662059.675,3823952.525,centre-nord,1736887,NA,0.089551234,NA
6,94500,21,1745736.999,1636129.5,577833.225,3556029.3,centre-ouest,1.705982102,4788,0,1750524.999,1640917.5,582621.225,3560817.3,centre-ouest,1689721,1568864,0.035984638,0.115791425
7,27000,6,843803.6282,787424.5,241866.95,1777860.35,centre-sud,1.820320924,966,0,844769.6282,788390.5,242832.95,1778826.35,centre-sud,895498,746504,-0.056648225,0.13163443
8,45000,10,2028652.005,1857869.5,557470.875,4515244.7,est,1.950937773,8027,14076,2022603.005,1851820.5,551421.875,4509195.7,est,1834166,NA,0.10273716,NA
9,261000,58,2334298.586,2158209,799337.475,4899471.1,hauts-bassins,1.756473507,4774,0,2339072.586,2162983,804111.475,4904245.1,hauts-bassins,2227277,2060188,0.05019384,0.135368513
,,,,,,,Total,1.844634179,,,21444270.24,19719271,6736794.425,46293628.25,Total,20870060,,,
